Age,Deck,Family_Size,Fare,Is_Married,Parch,PassengerId,Pclass,Sex,SibSp,Survived,Ticket,Ticket_Frequency,Title
4,M,2,0,0,0,1,3,male,1,0.0,A/5 21171,1,Mr
0,ABC,2,3,1,0,2,1,female,1,1.0,PC 17599,2,Miss/Mrs/Ms
6,M,1,0,0,0,3,3,female,0,1.0,STON/O2. 3101282,1,Miss/Mrs/Ms
6,ABC,2,3,1,0,4,1,female,1,1.0,113803,2,Miss/Mrs/Ms
6,M,1,1,0,0,5,3,male,0,0.0,373450,1,Mr
4,M,1,1,0,0,6,3,male,0,0.0,330877,1,Mr
0,DE,1,3,0,0,7,1,male,0,0.0,17463,2,Mr
1,M,5,2,0,1,8,3,male,3,0.0,349909,5,Master
6,M,3,1,1,2,9,3,female,0,1.0,347742,3,Miss/Mrs/Ms
5,M,2,2,1,0,10,2,female,1,1.0,237736,2,Miss/Mrs/Ms
1,FG,3,2,0,1,11,3,female,1,1.0,PP 9549,3,Miss/Mrs/Ms
0,ABC,1,2,0,0,12,1,female,0,1.0,113783,1,Miss/Mrs/Ms
4,M,1,1,0,0,13,3,male,0,0.0,A/5. 2151,1,Mr
0,M,7,3,0,5,14,3,male,1,0.0,347082,7,Mr
5,M,1,0,0,0,15,3,female,0,0.0,350406,1,Miss/Mrs/Ms
0,M,1,2,1,0,16,2,female,0,1.0,248706,1,Miss/Mrs/Ms
1,M,6,2,0,1,17,3,male,4,0.0,382652,6,Master
6,M,1,1,0,0,18,2,male,0,1.0,244373,1,Mr
6,M,2,2,1,0,19,3,female,1,0.0,345763,2,Miss/Mrs/Ms
4,M,1,0,1,0,20,3,female,0,1.0,2649,1,Miss/Mrs/Ms
6,M,1,2,0,0,21,2,male,0,0.0,239865,2,Mr
6,DE,1,1,0,0,22,2,male,0,1.0,248698,1,Mr
5,M,1,1,0,0,23,3,female,0,1.0,330923,1,Miss/Mrs/Ms
6,ABC,1,3,0,0,24,1,male,0,1.0,113788,1,Mr
2,M,5,2,0,1,25,3,female,3,0.0,349909,5,Miss/Mrs/Ms
0,M,7,3,1,5,26,3,female,1,1.0,347077,7,Miss/Mrs/Ms
4,M,1,0,0,0,27,3,male,0,0.0,2631,1,Mr
4,ABC,6,3,0,2,28,1,male,3,0.0,19950,6,Mr
4,M,1,0,0,0,29,3,female,0,1.0,330959,1,Miss/Mrs/Ms
4,M,1,0,0,0,30,3,male,0,0.0,349216,1,Mr
0,M,1,2,0,0,31,1,male,0,0.0,PC 17601,1,Dr/Military/Noble/Clergy
0,ABC,2,3,1,0,32,1,female,1,1.0,PC 17569,3,Miss/Mrs/Ms
4,M,1,0,0,0,33,3,female,0,1.0,335677,1,Miss/Mrs/Ms
3,M,1,1,0,0,34,2,male,0,0.0,C.A. 24579,1,Mr
6,M,2,3,0,0,35,1,male,1,0.0,PC 17604,2,Mr
0,M,2,3,0,0,36,1,male,1,0.0,113789,2,Mr
4,M,1,0,0,0,37,3,male,0,1.0,2677,1,Mr
4,M,1,1,0,0,38,3,male,0,0.0,A./5. 2152,1,Mr
5,M,3,2,0,0,39,3,female,2,0.0,345764,2,Miss/Mrs/Ms
5,M,2,1,0,0,40,3,female,1,1.0,2651,2,Miss/Mrs/Ms
0,M,2,1,1,0,41,3,female,1,0.0,7546,1,Miss/Mrs/Ms
6,M,2,2,1,0,42,2,female,1,0.0,11668,2,Miss/Mrs/Ms
4,M,1,0,0,0,43,3,male,0,0.0,349253,1,Mr
1,M,4,3,0,2,44,2,female,1,1.0,SC/Paris 2123,4,Miss/Mrs/Ms
4,M,1,0,0,0,45,3,female,0,1.0,330958,1,Miss/Mrs/Ms
4,M,1,1,0,0,46,3,male,0,0.0,S.C./A.4. 23567,1,Mr
4,M,2,2,0,0,47,3,male,1,0.0,370371,2,Mr
4,M,1,0,0,0,48,3,female,0,1.0,14311,1,Miss/Mrs/Ms
4,M,3,2,0,0,49,3,male,2,0.0,2662,3,Mr
5,M,2,2,1,0,50,3,female,1,0.0,349237,2,Miss/Mrs/Ms
2,M,6,3,0,1,51,3,male,4,0.0,3101295,7,Master
4,M,1,0,0,0,52,3,male,0,0.0,A/4. 39886,1,Mr
0,DE,2,3,1,0,53,1,female,1,1.0,PC 17572,3,Miss/Mrs/Ms
6,M,2,2,1,0,54,2,female,1,1.0,2926,2,Miss/Mrs/Ms
3,ABC,2,3,0,1,55,1,male,0,0.0,113509,2,Mr
0,ABC,1,3,0,0,56,1,male,0,1.0,19947,1,Mr
4,M,1,1,0,0,57,2,female,0,1.0,C.A. 31026,1,Miss/Mrs/Ms
6,M,1,0,0,0,58,3,male,0,0.0,2697,1,Mr
1,M,4,2,0,2,59,2,female,1,1.0,C.A. 34651,4,Miss/Mrs/Ms
2,M,8,3,0,2,60,3,male,5,0.0,CA 2144,8,Master
4,M,1,0,0,0,61,3,male,0,0.0,2669,1,Mr
0,ABC,1,3,0,0,62,1,female,0,1.0,113572,2,Miss/Mrs/Ms
0,ABC,2,3,0,0,63,1,male,1,0.0,36973,2,Mr
1,M,6,2,0,2,64,3,male,3,0.0,347088,6,Master
0,M,1,2,0,0,65,1,male,0,0.0,PC 17605,1,Mr
4,M,3,2,0,1,66,3,male,1,1.0,2661,3,Master
6,FG,1,1,1,0,67,2,female,0,1.0,C.A. 29395,1,Miss/Mrs/Ms
4,M,1,1,0,0,68,3,male,0,0.0,S.P. 3464,1,Mr
5,M,7,0,0,2,69,3,female,4,1.0,3101281,1,Miss/Mrs/Ms
6,M,3,1,0,0,70,3,male,2,0.0,315151,1,Mr
6,M,1,1,0,0,71,2,male,0,0.0,C.A. 33111,1,Mr
5,M,8,3,0,2,72,3,female,5,0.0,CA 2144,8,Miss/Mrs/Ms
4,M,1,3,0,0,73,2,male,0,0.0,S.O.C. 14879,7,Mr
6,M,2,1,0,0,74,3,male,1,0.0,2680,2,Mr
6,M,1,3,0,0,75,3,male,0,1.0,1601,8,Mr
4,FG,1,0,0,0,76,3,male,0,0.0,348123,1,Mr
4,M,1,0,0,0,77,3,male,0,0.0,349208,1,Mr
4,M,1,1,0,0,78,3,male,0,0.0,374746,1,Mr
1,M,3,2,0,2,79,2,male,0,1.0,248738,3,Master
6,M,1,1,0,0,80,3,female,0,1.0,364516,2,Miss/Mrs/Ms
4,M,1,1,0,0,81,3,male,0,0.0,345767,1,Mr
6,M,1,1,0,0,82,3,male,0,1.0,345779,1,Mr
4,M,1,0,0,0,83,3,female,0,1.0,330932,1,Miss/Mrs/Ms
6,M,1,3,0,0,84,1,male,0,0.0,113059,2,Mr
5,M,1,1,0,0,85,2,female,0,1.0,SO/C 14885,1,Miss/Mrs/Ms
6,M,4,2,1,0,86,3,female,3,1.0,3101278,2,Miss/Mrs/Ms
5,M,5,3,0,3,87,3,male,1,0.0,W./C. 6608,5,Mr
4,M,1,1,0,0,88,3,male,0,0.0,SOTON/OQ 392086,1,Mr
4,ABC,6,3,0,2,89,1,female,3,1.0,19950,6,Miss/Mrs/Ms
4,M,1,1,0,0,90,3,male,0,0.0,343275,1,Mr
6,M,1,1,0,0,91,3,male,0,0.0,343276,1,Mr
4,M,1,0,0,0,92,3,male,0,0.0,347466,1,Mr
0,DE,2,3,0,0,93,1,male,1,0.0,W.E.P. 5734,2,Mr
6,M,4,2,0,2,94,3,male,1,0.0,C.A. 2315,4,Mr
0,M,1,0,0,0,95,3,male,0,0.0,364500,1,Mr
4,M,1,1,0,0,96,3,male,0,0.0,374910,1,Mr
3,ABC,1,3,0,0,97,1,male,0,0.0,PC 17754,1,Mr
4,DE,2,3,0,1,98,1,male,0,1.0,PC 17759,2,Mr
6,M,2,2,1,1,99,2,female,0,1.0,231919,2,Miss/Mrs/Ms
6,M,2,2,0,0,100,2,male,1,0.0,244367,2,Mr
6,M,1,0,0,0,101,3,female,0,0.0,349245,1,Miss/Mrs/Ms
4,M,1,0,0,0,102,3,male,0,0.0,349215,1,Mr
4,DE,2,3,0,1,103,1,male,0,0.0,35281,2,Mr
6,M,1,1,0,0,104,3,male,0,0.0,7540,1,Mr
0,M,3,0,0,0,105,3,male,2,0.0,3101276,1,Mr
6,M,1,0,0,0,106,3,male,0,0.0,349207,1,Mr
4,M,1,0,0,0,107,3,female,0,1.0,343120,1,Miss/Mrs/Ms
4,M,1,0,0,0,108,3,male,0,1.0,312991,1,Mr
0,M,1,0,0,0,109,3,male,0,0.0,349249,1,Mr
4,M,2,2,0,0,110,3,female,1,1.0,371110,3,Miss/Mrs/Ms
0,ABC,1,3,0,0,111,1,male,0,0.0,110465,2,Mr
5,M,2,1,0,0,112,3,female,1,0.0,2665,2,Miss/Mrs/Ms
4,M,1,1,0,0,113,3,male,0,0.0,324669,1,Mr
4,M,2,1,0,0,114,3,female,1,0.0,4136,1,Miss/Mrs/Ms
5,M,1,1,0,0,115,3,female,0,0.0,2627,2,Miss/Mrs/Ms
4,M,1,0,0,0,116,3,male,0,0.0,STON/O 2. 3101294,1,Mr
3,M,1,0,0,0,117,3,male,0,0.0,370369,1,Mr
6,M,2,2,0,0,118,2,male,1,0.0,11668,2,Mr
4,ABC,2,3,0,1,119,1,male,0,0.0,PC 17558,3,Mr
1,M,7,3,0,2,120,3,female,4,0.0,347082,7,Miss/Mrs/Ms
4,M,3,3,0,0,121,2,male,2,0.0,S.O.C. 14879,7,Mr
4,M,1,1,0,0,122,3,male,0,0.0,A4. 54510,1,Mr
6,M,2,2,0,0,123,2,male,1,0.0,237736,2,Mr
6,DE,1,1,0,0,124,2,female,0,1.0,27267,1,Miss/Mrs/Ms
0,DE,2,3,0,1,125,1,male,0,0.0,35281,2,Mr
2,M,2,1,0,0,126,3,male,1,1.0,2651,2,Master
4,M,1,0,0,0,127,3,male,0,0.0,370372,1,Mr
4,M,1,0,0,0,128,3,male,0,1.0,C 17369,1,Mr
4,FG,3,2,0,1,129,3,female,1,1.0,2668,3,Miss/Mrs/Ms
0,M,1,0,0,0,130,3,male,0,0.0,347061,1,Mr
6,M,1,0,0,0,131,3,male,0,0.0,349241,1,Mr
4,M,1,0,0,0,132,3,male,0,0.0,SOTON/O.Q. 3101307,1,Mr
0,M,2,1,1,0,133,3,female,1,0.0,A/5. 3337,2,Miss/Mrs/Ms
6,M,2,2,1,0,134,2,female,1,1.0,228414,2,Miss/Mrs/Ms
4,M,1,1,0,0,135,2,male,0,0.0,C.A. 29178,1,Mr
4,M,1,2,0,0,136,2,male,0,0.0,SC/PARIS 2133,1,Mr
4,DE,3,2,0,2,137,1,female,0,1.0,11752,1,Miss/Mrs/Ms
0,ABC,2,3,0,0,138,1,male,1,0.0,113803,2,Mr
5,M,1,1,0,0,139,3,male,0,0.0,7534,2,Mr
4,ABC,1,3,0,0,140,1,male,0,0.0,PC 17593,2,Mr
4,M,3,2,1,2,141,3,female,0,0.0,2678,3,Miss/Mrs/Ms
4,M,1,0,0,0,142,3,female,0,1.0,347081,1,Miss/Mrs/Ms
4,M,2,2,1,0,143,3,female,1,1.0,STON/O2. 3101279,2,Miss/Mrs/Ms
4,M,1,0,0,0,144,3,male,0,0.0,365222,1,Mr
5,M,1,1,0,0,145,2,male,0,0.0,231945,1,Mr
4,M,3,3,0,1,146,2,male,1,0.0,C.A. 33112,4,Mr
6,M,1,0,0,0,147,3,male,0,1.0,350043,1,Mr
2,M,5,3,0,2,148,3,female,2,0.0,W./C. 6608,5,Miss/Mrs/Ms
0,FG,3,2,0,2,149,2,male,0,0.0,230080,3,Mr
0,M,1,1,0,0,150,2,male,0,0.0,244310,1,Dr/Military/Noble/Clergy
0,M,1,1,0,0,151,2,male,0,0.0,S.O.P. 1166,1,Dr/Military/Noble/Clergy
4,ABC,2,3,1,0,152,1,female,1,1.0,113776,2,Miss/Mrs/Ms
0,M,1,1,0,0,153,3,male,0,0.0,A.5. 11206,1,Mr
0,M,3,1,0,2,154,3,male,0,0.0,A/5. 851,3,Mr
4,M,1,0,0,0,155,3,male,0,0.0,Fa 265302,1,Mr
0,M,2,3,0,1,156,1,male,0,0.0,PC 17597,2,Mr
5,M,1,0,0,0,157,3,female,0,1.0,35851,1,Miss/Mrs/Ms
6,M,1,1,0,0,158,3,male,0,0.0,SOTON/OQ 392090,1,Mr
4,M,1,1,0,0,159,3,male,0,0.0,315037,1,Mr
4,M,11,3,0,2,160,3,male,8,0.0,CA. 2343,11,Master
0,M,2,2,0,1,161,3,male,0,0.0,371362,2,Mr
0,M,1,2,1,0,162,2,female,0,1.0,C.A. 33595,2,Miss/Mrs/Ms
6,M,1,0,0,0,163,3,male,0,0.0,347068,1,Mr
5,M,1,1,0,0,164,3,male,0,0.0,315093,1,Mr
1,M,6,3,0,1,165,3,male,4,0.0,3101295,7,Master
2,M,3,2,0,2,166,3,male,0,1.0,363291,3,Master
0,DE,2,3,1,1,167,1,female,0,1.0,113505,2,Miss/Mrs/Ms
0,M,6,2,1,4,168,3,female,1,0.0,347088,6,Miss/Mrs/Ms
0,M,1,2,0,0,169,1,male,0,0.0,PC 17318,1,Mr
6,M,1,3,0,0,170,3,male,0,0.0,1601,8,Mr
3,ABC,1,3,0,0,171,1,male,0,0.0,111240,1,Mr
1,M,6,2,0,1,172,3,male,4,0.0,382652,6,Master
1,M,3,1,0,1,173,3,female,1,1.0,347742,3,Miss/Mrs/Ms
4,M,1,0,0,0,174,3,male,0,0.0,STON/O 2. 3101280,1,Mr
0,ABC,1,2,0,0,175,1,male,0,0.0,17764,1,Mr
5,M,3,0,0,1,176,3,male,1,0.0,350404,1,Mr
4,M,5,2,0,1,177,3,male,3,0.0,4133,5,Master
0,ABC,1,2,0,0,178,1,female,0,0.0,PC 17595,1,Miss/Mrs/Ms
6,M,1,1,0,0,179,2,male,0,0.0,250653,1,Mr
0,M,1,4,0,0,180,3,male,0,0.0,LINE,4,Mr
4,M,11,3,0,2,181,3,female,8,0.0,CA. 2343,11,Miss/Mrs/Ms
6,M,1,2,0,0,182,2,male,0,0.0,SC/PARIS 2131,1,Mr
2,M,7,3,0,2,183,3,male,4,0.0,347077,7,Master
1,FG,4,3,0,1,184,2,male,2,1.0,230136,4,Master
1,M,3,2,0,2,185,3,female,0,1.0,315153,3,Miss/Mrs/Ms
0,ABC,1,3,0,0,186,1,male,0,0.0,113767,1,Mr
4,M,2,2,1,0,187,3,female,1,1.0,370365,2,Miss/Mrs/Ms
0,M,1,2,0,0,188,1,male,0,1.0,111428,1,Mr
0,M,3,2,0,1,189,3,male,1,0.0,364849,2,Mr
0,M,1,0,0,0,190,3,male,0,0.0,349247,1,Mr
6,M,1,1,1,0,191,2,female,0,1.0,234604,1,Miss/Mrs/Ms
4,M,1,1,0,0,192,2,male,0,0.0,28424,1,Mr
4,M,2,0,0,0,193,3,female,1,1.0,350046,1,Miss/Mrs/Ms
1,FG,3,2,0,1,194,2,male,1,1.0,230080,3,Master
0,ABC,1,2,1,0,195,1,female,0,1.0,PC 17610,1,Miss/Mrs/Ms
0,ABC,1,3,0,0,196,1,female,0,1.0,PC 17569,3,Miss/Mrs/Ms
4,M,1,0,0,0,197,3,male,0,0.0,368703,1,Mr
0,M,2,1,0,1,198,3,male,0,0.0,4579,1,Mr
4,M,1,0,0,0,199,3,female,0,1.0,370370,1,Miss/Mrs/Ms
4,M,1,1,0,0,200,2,female,0,0.0,248747,1,Miss/Mrs/Ms
6,M,1,1,0,0,201,3,male,0,0.0,345770,1,Mr
4,M,11,3,0,2,202,3,male,8,0.0,CA. 2343,11,Mr
6,M,1,0,0,0,203,3,male,0,0.0,3101264,1,Mr
0,M,1,0,0,0,204,3,male,0,0.0,2628,1,Mr
5,M,1,1,0,0,205,3,male,0,1.0,A/5 3540,1,Mr
1,FG,2,1,0,1,206,3,female,0,0.0,347054,2,Miss/Mrs/Ms
6,M,2,2,0,0,207,3,male,1,0.0,3101278,2,Mr
6,M,1,2,0,0,208,3,male,0,1.0,2699,2,Mr
5,M,1,0,0,0,209,3,female,0,1.0,367231,1,Miss/Mrs/Ms
0,ABC,1,2,0,0,210,1,male,0,1.0,112277,1,Mr
4,M,1,0,0,0,211,3,male,0,0.0,SOTON/O.Q. 3101311,1,Mr
6,M,1,2,0,0,212,2,female,0,1.0,F.C.C. 13528,2,Miss/Mrs/Ms
4,M,1,0,0,0,213,3,male,0,0.0,A/5 21174,1,Mr
6,M,1,1,0,0,214,2,male,0,0.0,250646,1,Mr
4,M,2,0,0,0,215,3,male,1,0.0,367229,1,Mr
6,DE,2,3,0,0,216,1,female,1,1.0,35273,3,Miss/Mrs/Ms
6,M,1,0,0,0,217,3,female,0,1.0,STON/O2. 3101283,1,Miss/Mrs/Ms
0,M,2,2,0,0,218,2,male,1,0.0,243847,2,Mr
6,DE,1,3,0,0,219,1,female,0,1.0,11813,2,Miss/Mrs/Ms
6,M,1,1,0,0,220,2,male,0,0.0,W/C 14208,1,Mr
5,M,1,1,0,0,221,3,male,0,1.0,SOTON/OQ 392089,1,Mr
6,M,1,1,0,0,222,2,male,0,0.0,220367,1,Mr
0,M,1,1,0,0,223,3,male,0,0.0,21440,1,Mr
4,M,1,0,0,0,224,3,male,0,0.0,349234,1,Mr
0,ABC,2,3,0,0,225,1,male,1,1.0,19943,2,Mr
4,M,1,1,0,0,226,3,male,0,0.0,PP 4348,1,Mr
4,M,1,1,0,0,227,2,male,0,1.0,SW/PP 751,1,Mr
4,M,1,0,0,0,228,3,male,0,0.0,A/5 21173,1,Mr
5,M,1,1,0,0,229,2,male,0,0.0,236171,1,Mr
4,M,5,2,0,1,230,3,female,3,0.0,4133,5,Miss/Mrs/Ms
6,ABC,2,3,1,0,231,1,female,1,1.0,36973,2,Miss/Mrs/Ms
6,M,1,0,0,0,232,3,male,0,0.0,347067,1,Mr
0,M,1,1,0,0,233,2,male,0,0.0,237442,1,Mr
1,M,7,3,0,2,234,3,female,4,1.0,347077,7,Miss/Mrs/Ms
4,M,1,1,0,0,235,2,male,0,0.0,C.A. 29566,1,Mr
4,M,1,0,0,0,236,3,female,0,0.0,W./C. 6609,1,Miss/Mrs/Ms
0,M,2,2,0,0,237,2,male,1,0.0,26707,2,Mr
2,M,3,2,0,2,238,2,female,0,1.0,C.A. 31921,3,Miss/Mrs/Ms
4,M,1,1,0,0,239,2,male,0,0.0,28665,1,Mr
6,M,1,1,0,0,240,2,male,0,0.0,SCO/W 1585,1,Mr
4,M,2,1,0,0,241,3,female,1,0.0,2665,2,Miss/Mrs/Ms
4,M,2,2,0,0,242,3,female,1,1.0,367230,2,Miss/Mrs/Ms
6,M,1,1,0,0,243,2,male,0,0.0,W./C. 14263,1,Mr
4,M,1,0,0,0,244,3,male,0,0.0,STON/O 2. 3101275,1,Mr
6,M,1,0,0,0,245,3,male,0,0.0,2694,1,Mr
0,ABC,3,3,0,0,246,1,male,2,0.0,19928,3,Dr/Military/Noble/Clergy
4,M,1,0,0,0,247,3,female,0,0.0,347071,1,Miss/Mrs/Ms
4,M,3,1,1,2,248,2,female,0,1.0,250649,2,Miss/Mrs/Ms
0,DE,3,3,0,1,249,1,male,1,1.0,11751,2,Mr
0,M,2,2,0,0,250,2,male,1,0.0,244252,2,Dr/Military/Noble/Clergy
4,M,1,0,0,0,251,3,male,0,0.0,362316,1,Mr
6,FG,3,1,1,1,252,3,female,1,0.0,347054,2,Miss/Mrs/Ms
3,ABC,1,2,0,0,253,1,male,0,0.0,113514,1,Mr
6,M,2,2,0,0,254,3,male,1,0.0,A/5. 3336,2,Mr
0,M,3,2,1,2,255,3,female,0,0.0,370129,3,Miss/Mrs/Ms
6,M,3,2,1,2,256,3,female,0,1.0,2650,3,Miss/Mrs/Ms
0,M,1,3,1,0,257,1,female,0,1.0,PC 17585,2,Miss/Mrs/Ms
6,ABC,1,3,0,0,258,1,female,0,1.0,110152,3,Miss/Mrs/Ms
6,M,1,3,0,0,259,1,female,0,1.0,PC 17755,4,Miss/Mrs/Ms
0,M,2,2,1,1,260,2,female,0,1.0,230433,2,Miss/Mrs/Ms
4,M,1,0,0,0,261,3,male,0,0.0,384461,1,Mr
1,M,7,3,0,2,262,3,male,4,1.0,347077,7,Master
0,DE,3,3,0,1,263,1,male,1,0.0,110413,3,Mr
0,ABC,1,4,0,0,264,1,male,0,0.0,112059,1,Mr
4,M,1,0,0,0,265,3,female,0,0.0,382649,1,Miss/Mrs/Ms
0,M,1,1,0,0,266,2,male,0,0.0,C.A. 17248,1,Mr
5,M,6,3,0,1,267,3,male,4,0.0,3101295,7,Mr
4,M,2,0,0,0,268,3,male,1,1.0,347083,1,Mr
0,ABC,2,3,1,1,269,1,female,0,1.0,PC 17582,3,Miss/Mrs/Ms
6,ABC,1,3,0,0,270,1,female,0,1.0,PC 17760,4,Miss/Mrs/Ms
0,M,1,2,0,0,271,1,male,0,0.0,113798,2,Mr
4,M,1,4,0,0,272,3,male,0,1.0,LINE,4,Mr
0,M,2,2,1,1,273,2,female,0,1.0,250644,2,Miss/Mrs/Ms
0,ABC,2,2,0,1,274,1,male,0,0.0,PC 17596,1,Mr
4,M,1,0,0,0,275,3,female,0,1.0,370375,1,Miss/Mrs/Ms
3,DE,2,3,0,0,276,1,female,1,1.0,13502,3,Miss/Mrs/Ms
0,M,1,0,0,0,277,3,female,0,0.0,347073,1,Miss/Mrs/Ms
6,M,1,4,0,0,278,2,male,0,0.0,239853,3,Mr
2,M,6,2,0,1,279,3,male,4,0.0,382652,6,Master
6,M,3,2,1,1,280,3,female,1,1.0,C.A. 2673,3,Miss/Mrs/Ms
3,M,1,0,0,0,281,3,male,0,0.0,336439,1,Mr
6,M,1,0,0,0,282,3,male,0,0.0,347464,1,Mr
5,M,1,1,0,0,283,3,male,0,0.0,345778,1,Mr
4,M,1,1,0,0,284,3,male,0,1.0,A/5. 10482,1,Mr
0,ABC,1,2,0,0,285,1,male,0,0.0,113056,1,Mr
6,M,1,1,0,0,286,3,male,0,0.0,349239,1,Mr
6,M,1,1,0,0,287,3,male,0,1.0,345774,1,Mr
4,M,1,0,0,0,288,3,male,0,0.0,349206,1,Mr
0,M,1,1,0,0,289,2,male,0,1.0,237798,1,Mr
4,M,1,0,0,0,290,3,female,0,1.0,370373,1,Miss/Mrs/Ms
6,M,1,3,0,0,291,1,female,0,1.0,19877,3,Miss/Mrs/Ms
4,ABC,2,3,1,0,292,1,female,1,1.0,11967,2,Miss/Mrs/Ms
0,DE,1,1,0,0,293,2,male,0,0.0,SC/Paris 2163,1,Mr
4,M,1,1,0,0,294,3,female,0,0.0,349236,1,Miss/Mrs/Ms
4,M,1,0,0,0,295,3,male,0,0.0,349233,1,Mr
0,M,1,2,0,0,296,1,male,0,0.0,PC 17612,1,Mr
4,M,1,0,0,0,297,3,male,0,0.0,2693,1,Mr
1,ABC,4,3,0,2,298,1,female,1,0.0,113781,6,Miss/Mrs/Ms
0,ABC,1,2,0,0,299,1,male,0,1.0,19988,1,Mr
0,ABC,2,3,1,1,300,1,female,0,1.0,PC 17558,3,Miss/Mrs/Ms
4,M,1,0,0,0,301,3,female,0,1.0,9234,1,Miss/Mrs/Ms
4,M,3,2,0,0,302,3,male,2,1.0,367226,3,Mr
4,M,1,4,0,0,303,3,male,0,0.0,LINE,4,Mr
6,DE,1,1,0,0,304,2,female,0,1.0,226593,1,Miss/Mrs/Ms
4,M,1,1,0,0,305,3,male,0,0.0,A/5 2466,1,Mr
1,ABC,4,3,0,2,306,1,male,1,1.0,113781,6,Master
0,M,1,3,0,0,307,1,female,0,1.0,17421,4,Miss/Mrs/Ms
5,ABC,2,3,1,0,308,1,female,1,1.0,PC 17758,3,Miss/Mrs/Ms
6,M,2,2,0,0,309,2,male,1,0.0,P/PP 3381,2,Mr
6,DE,1,3,0,0,310,1,female,0,1.0,PC 17485,2,Miss/Mrs/Ms
4,ABC,1,3,0,0,311,1,female,0,1.0,11767,3,Miss/Mrs/Ms
5,ABC,5,3,0,2,312,1,female,2,1.0,PC 17608,7,Miss/Mrs/Ms
6,M,3,2,1,1,313,2,female,1,0.0,250651,2,Miss/Mrs/Ms
6,M,1,0,0,0,314,3,male,0,0.0,349243,1,Mr
0,M,3,2,0,1,315,2,male,1,0.0,F.C.C. 13529,3,Mr
6,M,1,0,0,0,316,3,female,0,1.0,347470,1,Miss/Mrs/Ms
4,M,2,2,1,0,317,2,female,1,1.0,244367,2,Miss/Mrs/Ms
0,M,1,1,0,0,318,2,male,0,0.0,29011,1,Dr/Military/Noble/Clergy
6,ABC,3,3,0,2,319,1,female,0,1.0,36928,4,Miss/Mrs/Ms
0,DE,3,3,1,1,320,1,female,1,1.0,16966,5,Miss/Mrs/Ms
